1000,7858
10000,4
1002,2940
1004,963
1005,352
1006,5224
1008,110
1009,79
1010,91
1011,83
1012,151
1013,93
1014,5495
1016,3633
1017,11696
1018,1634
1019,84
1020,3546
1021,369
1022,7265
1023,9926
1027,84
1028,7167
1029,8453
1030,8639
1032,3233
1036,529
1038,18391
1043,237
1046,15
1049,59
1051,3398
1055,3254
1057,1113
1058,3121
1059,8
1063,3090
1064,5876
1069,544
1070,922
1072,127
1074,182
1078,21117
1081,4077
1082,1457
1087,2337
1088,6033
1091,1862
1092,1006
1093,1278
1094,8298
1096,197
1097,4643
1098,4634
1109,157
1110,366
1111,615
1112,502
1114,150
1129,101
1130,10319
1132,10286
1134,1369
1135,2818
1136,101
1140,3707
1141,1393
1143,4946
1144,3163
1146,3353
1148,13096
1152,4268
1154,87
1155,24
1158,776
1160,623
1162,4898
1164,15021
1166,1446
1167,1469
1168,5197
1169,11
1170,2031
1171,2849
1174,4289
1175,70
1176,424
1177,14226
1178,13347
1181,1577
1182,8877
1183,2534
1184,23
1187,4486
1192,3170
1193,1549
1194,4
1196,4679
1197,9
1198,3288
12,22661
1200,1047
1201,6144
1202,811
1203,8409
1206,8512
1207,9980
1208,11678
1209,4302
1210,5828
1212,1091
1213,1922
1214,21344
1216,14265
1217,3983
1223,190
1227,1637
1234,1548
1235,1290
1238,3
1239,7265
1241,5247
1242,3972
1247,2028
1252,5228
1254,87
1256,4451
1259,43
1260,4462
1261,135
1262,394
1264,1757
1267,1474
1270,6541
1271,2581
1273,16748
1274,604
1276,9
1279,1180
1285,1904
1286,1168
1288,5941
1291,2264
1292,6
1293,1565
1298,3586
1300,3948
1301,1513
1303,137
1304,4
1305,1483
1306,4804
1307,1988
1309,318
1311,4
1313,1591
1315,5222
1316,3339
1317,3811
1322,2631
1324,1888
1325,4776
1327,2223
1328,3
1331,544
1332,125
1333,85
1334,86
1335,1869
1336,797
1338,6694
1344,1183
1346,9422
1347,12231
1348,11642
1349,1784
1354,4570
1356,44
1358,5423
1359,512
1360,889
1361,2583
1362,625
1363,1597
1365,11383
1366,2009
1367,7249
1368,5725
1369,1254
1370,4675
1371,577
1372,5753
1373,625
1374,850
1376,3576
1380,598
1383,1176
1384,6609
1386,1280
1387,1991
1389,1280
1391,22
1392,358
1394,2236
1395,8378
1397,6807
1400,3868
1404,11
1408,3109
1409,723
1412,2327
1416,136
1417,81
1418,3006
1419,4280
1422,1698
1423,4025
1425,5324
1428,282
1433,865
1435,963
1436,8024
1437,3441
1438,1133
