word,pagegid1,freq1,pagegid2,freq2,pagegid3,freq3,pagegid4,freq4,pagegid5,freq5,total
aaabb,6211,8
aaabbb,6211,1
aaabbbc,6211,1
aaabbbccc,6212,1,6211,1
aaabbc,6211,7
aaafb,7045,1
aaafc,1162,1
aaah,6614,1
aaai,2130,1,713,1,6874,1,5626,2,1164,4
aaainc,1098,2
aaal,1776,1
aaand,2047,1
aaanet,569,8,6088,1
aaaspolicyfellowship,8881,1

SUM(zn([Freq1])+zn([Freq2])+zn([Freq3])+zn([Freq4])+zn([Freq5]))
